"TOKEN";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"REFTEXT";"CLASSEMENT";"ExisteDansSlayer"
"FOTOKEN";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"FORWARD OBSERVER (CO)";"CLASSEMENT";"ExisteDansSlayer"
"FOTOKENBAT";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"FORWARD OBSERVER (BN)";"CLASSEMENT";"ExisteDansSlayer"
"FOGER";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"ARTILLERIEBEOBACHTER (KP.)";"CLASSEMENT";"ExisteDansSlayer"
"FOBATGER";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"ARTILLERIEBEOBACHTER (BTL)";"CLASSEMENT";"ExisteDansSlayer"
"NNWIIYMZYG";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"AIRBORNE ASSAULT TEAM";"CLASSEMENT";"ExisteDansSlayer"
"AULZGZNGFS";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"ASSAULT TEAM";"CLASSEMENT";"ExisteDansSlayer"
"RAIWUACLLY";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD N.G. COMPANY HQ";"CLASSEMENT";"ExisteDansSlayer"
"HOXFZSGNVI";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD N.G. PLATOON HQ";"CLASSEMENT";"ExisteDansSlayer"
"NQDCIXDURY";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD  MECH. RIFLE CO. HQ ";"CLASSEMENT";"ExisteDansSlayer"
"QJQGHOHITG";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD MECH. RIFLE PLT. HQ";"CLASSEMENT";"ExisteDansSlayer"
"ABPLTHQ";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD AIRBORNE PLT. HQ";"CLASSEMENT";"ExisteDansSlayer"
"OIRLNHCTNV";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"#CMD MOTOSTRELKI (PLT. HQ)";"CLASSEMENT";"ExisteDansSlayer"
"GNRKILLED";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"GUNNER KILLED";"CLASSEMENT";"ExisteDansSlayer"
"LDRKILLED";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"LOADER KILLED";"CLASSEMENT";"ExisteDansSlayer"
"CMDRKILLED";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"COMMANDER KILLED";"CLASSEMENT";"ExisteDansSlayer"
"DRVKILLED";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"DRIVER KILLED";"CLASSEMENT";"ExisteDansSlayer"
"SIGHTGONE";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"PRIMARY SIGHT DESTROYED";"CLASSEMENT";"ExisteDansSlayer"
"PWRDAMAGE";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"POWER PACK DAMAGED";"CLASSEMENT";"ExisteDansSlayer"
"PWRDESTRY";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"POWER PACK INOPERABLE";"CLASSEMENT";"ExisteDansSlayer"
"GUNDESTRY";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"WEAPON INOPERABLE";"CLASSEMENT";"ExisteDansSlayer"
"LDRKO";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"LOADER STUNNED";"CLASSEMENT";"ExisteDansSlayer"
"GNRK0";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"GUNNER STUNNED";"CLASSEMENT";"ExisteDansSlayer"
"DRVKO";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"DRIVER STUNNED";"CLASSEMENT";"ExisteDansSlayer"
"UGLUS";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"M203";"CLASSEMENT";"ExisteDansSlayer"
